Seq,_in,cue,speakerID_A,name_A,caption_A,duration_A,style_A,speakerID_B,name_B,caption_B,duration_B,style_B,speakerID_C,name_C,caption_C,duration_C,style_C,speakerID_D,name_D,caption_D,duration_D,style_D
,,SCENE 1,,,,,,,,,,,,,,,,,,,,
1,0:01:00,,11,#11,but it's like         he's old,3000,normal,,,,,,,,,,,,,,,
2,0:01:12,,25,#25,he murdered 1000s of people ,3000,normal,,,,,,,,,,,,,,,
3,0:01:24,,13,#13,literally 100s of 1000s ,3000,normal,,,,,,,,,,,,,,,
4,0:01:36,,,,,,,2,#2,(quiet) have you played with it before?,4000,normal,,,,,,,,,,
5,0:01:48,,11,#11,yeah but did you see the photo? ,3000,normal,8,#8,what?,2000,normal,,,,,,,,,,
6,0:02:00,,,,,,,,,,,,,,,,,,,,,
7,0:02:12,,46,#46,what photo ,3000,normal,,,,,,,,,,,,,,,
8,0:02:24,,13,#13,the photo ,3000,normal,,,,,,,,,,,,,,,
9,0:02:36,,,,,,,2,#2,nothing,2000,normal,,,,,,,,,,
10,0:02:48,,25,#25,oh yeah the photo ,4000,normal,14,#14,*has a cold this week*,3000,normal,,,,,,,,,,
11,0:03:00,,,,,,,14,#14,what’d you say? ,3000,normal,,,,,,,,,,
12,,,,,,,,2,#2,[a little louder],3000,normal,,,,,,,,,,
13,,,,,,,,2,#2,have you played with it before ,3000,normal,,,,,,,,,,
14,,,,,,,,7,#7,like yeah of course we have ,3000,normal,,,,,,,,,,
15,,,,,,,,7,#7,We’re Women,2000,normal,,,,,,,,,,
16,,,,,,,,7,#7,that’s like what we do ,3000,normal,,,,,,,,,,
17,,,11,#11,yeah he’s like 90 years old,3000,normal,,,,,,,,,,,,,,,
18,,,11,#11,and like has the old person eyes,3000,normal,,,,,,,,,,,,,,,
19,,,,,,,,2,#2,has it been a problem ,3000,normal,,,,,,,,,,
20,,,11,#11,and all these wrinkles,3000,normal,,,,,,,,,,,,,,,
21,,,11,#11,and like gave testimony on Skype from his hospital bed ,4000,normal,,,,,,,,,,,,,,,
22,,,,,,,,7,#7,Like has blood run down my legs? ,3000,normal,,,,,,,,,,
23,,,,,,,,14,#14,[#14 laughs hysterically],2000,normal,,,,,,,,,,
24,,,25,#25,I don’t think they have Skype in Cambodia,4000,normal,,,,,,,,,,,,,,,
25,,,13,#13,that is like so ,3000,normal,,,,,,,,,,,,,,,
26,,,25,#25,what ,2000,normal,,,,,,,,,,,,,,,
27,,,13,#13,like so bad,3000,normal,,,,,,,,,,,,,,,
28,,,,,,,,8,#8,It’s really no big deal,3000,normal,,,,,,,,,,
29,,,13,#13,like you can’t say that,3000,normal,,,,,,,,,,,,,,,
30,,,13,#13,cause it’s like,2000,normal,,,,,,,,,,,,,,,
31,,,11,#11,yeah ,2000,normal,,,,,,,,,,,,,,,
32,,,13,#13,insensitive,2000,normal,,,,,,,,,,,,,,,
33,,,,,,,,8,#8,seriously,2000,normal,,,,,,,,,,
34,,,25,#25,no,1000,,,,,,,,,,,,,,,,
35,,,25,#25,no it’s not,2000,normal,,,,,,,,,,,,,,,
36,,,25,#25,it’s not insensitive,3000,normal,,,,,,,,,,,,,,,
37,,,11,#11,they definitely have Skype in Cambodia ,4000,normal,,,,,,,,,,,,,,,
38,,,25,#25,the internet isn’t the internet everywhere you guys ,4000,normal,,,,,,,,,,,,,,,
39,,,46,#46,are you talking about Cambodia? ,4000,normal,,,,,,,,,,,,,,,
40,,,,,,,,2,#2,what if like my pad falls out?,3000,normal,,,,,,,,,,
41,,,13,#13,that’s the stupidest shit,3000,normal,,,,,,,,,,,,,,,
42,,,11,#11,no,1000,normal,,,,,,,,,,,,,,,
43,,,11,#11,she’s right,2000,normal,,,,,,,,,,,,,,,
44,,,,,,,,8,#8,omigosh,2000,normal,,,,,,,,,,
45,,,25,#25,yeah,1000,normal,,,,,,,,,,,,,,,
46,,,25,#25,(thank you),2000,normal,,,,,,,,,,,,,,,
47,,,25,#25,it’s like,2000,normal,,,,,,,,,,,,,,,
48,,,25,#25,like here we can look up whatever we want,4000,normal,,,,,,,,,,,,,,,
49,,,,,,,,7,#7,you still use those?,3000,normal,,,,,,,,,,
50,,,25,#25,but like in China they don’t have Twitter in China ,4000,normal,,,,,,,,,,,,,,,
51,,,,,,,,7,#7,that’s like running around with a diaper or something,4000,normal,,,,,,,,,,
52,,,,,,,,14,#14,you gotta get off of those ,3000,normal,,,,,,,,,,
53,,,11,#11,well that’s not exactly ,3000,normal,,,,,,,,,,,,,,,
54,,,,,,,,14,#14,you want a ?,3000,normal,,,,,,,,,,
55,,,,,,,,14,#14,cause I can get you one,3000,normal,,,,,,,,,,
56,,,,,,,,8,#8,same ,2000,normal,,,,,,,,,,
57,,,,,,,,7,#7,no you want it,3000,normal,,,,,,,,,,
58,,,,,,,,7,#7,trust me you want it ,3000,normal,,,,,,,,,,
59,,,11,#11,I’m pretty sure they have a Twitter like platform in China,4000,normal,,,,,,,,,,,,,,,
60,,,,,,,,14,#14,they're just in my backpack,3000,normal,,,,,,,,,,
61,,,,,,,,2,#2,no,1000,normal,,,,,,,,,,
62,,,,,,,,2,#2,thank you ,2000,normal,,,,,,,,,,
63,,,25,#25,uh platform?,3000,normal,,,,,,,,,,,,,,,
64,,,,,,,,8,#8,you should like totally take one ,3000,normal,7,#7,(you remember Courtney),3000,normal,,,,,
65,,,,,,,,2,#2,yeah ,2000,normal,14,#14,(oh jesus Courtney),3000,normal,,,,,
66,,,13,#13,are you saying,3000,normal,8,#8,it’s not so hard,3000,normal,7,#7,(with the super plus),3000,normal,,,,,
67,,,13,#13,you’re on Chinese Twitter,3000,normal,8,#8,you just like,3000,normal,,,,,,,,,,
68,,,13,#13,or something?,2000,normal,8,#8,pop! ,2000,normal,,,,,,,,,,
69,,,,,,,,8,#8,I have like,3000,normal,14,#14,(oh my god yes),3000,normal,,,,,
70,,,,,,,,8,#8,special sporty ones,3000,normal,,,,,,,,,,
71,,,11,#11,no,3000,normal,8,#8,like the ones on tv,3000,normal,,,,,,,,,,
72,,,,,,,,,,,,,7,#7,little perv,2000,normal,,,,,
73,,,11,#11,I’m not Chinese,3000,normal,2,#2,we don’t have a tv ,3000,normal,14,#14,hahaha,3000,normal,,,,,
74,,,,,,,,,,,,,14,#14,hahaha,2000,normal,,,,,
75,,,,,,,,,,,,,14,#14,hahaha,2000,normal,,,,,
76,,,11,#11,I’m just,3000,normal,8,#8,omigosh,3000,normal,,,,,,,,,,
77,,,,,,,,8,#8,that’s so sad!,3000,normal,,,,,,,,,,
78,,,,,,,,8,#8,I always forget that,3000,normal,,,,,,,,,,
79,,,11,#11,I mean like,3000,normal,8,#8,about you ,3000,normal,,,,,,,,,,
